,简称,币种,现价,涨跌,涨幅,开盘,最高,最低,买价,卖价,时间,走势图
141739,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141809,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
,简称,币种,现价,涨跌,涨幅,开盘,最高,最低,买价,卖价,时间,走势图
141739,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141809,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141839,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
,简称,币种,现价,涨跌,涨幅,开盘,最高,最低,买价,卖价,时间,走势图
141739,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141809,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141839,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141940,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
,简称,币种,现价,涨跌,涨幅,开盘,最高,最低,买价,卖价,时间,走势图
141739,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141809,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141839,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141940,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
142010,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
,简称,币种,现价,涨跌,涨幅,开盘,最高,最低,买价,卖价,时间,走势图
141739,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141809,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141839,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
141940,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
142010,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
142050,USDKRW,美元韩元,1162.65,-0.46,-5.43,1167.53,1169.31,1162.41,1162.65,1164.65,20191116055852,10000
